tmax,wspd,sol,presMax,dir,aptoplay
17.90,1.70,9.60,1025.20,26.00,-1
17.40,2.20,9.50,1026.60,4.00,-1
18.20,2.20,9.40,1028.70,3.00,-1
18.20,2.80,9.40,1028.10,99.00,-1
21.60,1.40,9.50,1026.50,13.00,-1
19.30,3.30,9.60,1023.40,12.00,-1
18.40,3.30,6.30,1016.40,14.00,-1
16.70,4.40,3.80,1019.40,15.00,-1
17.70,5.80,3.90,1026.30,10.00,-1
16.50,12.80,3.60,1026.30,9.00,-1
16.60,11.70,5.90,1023.60,11.00,-1
18.40,6.70,3.10,1024.40,11.00,-1
19.40,8.60,8.80,1025.70,10.00,-1
17.90,8.90,4.20,1023.20,11.00,-1
19.00,5.30,0.00,1022.20,10.00,-1
20.70,4.20,8.30,1023.10,11.00,-1
17.60,7.80,0.00,1021.40,11.00,-1
19.80,8.10,6.20,1021.60,11.00,-1
20.30,5.80,3.20,1019.40,11.00,-1
20.40,5.60,0.00,1017.60,12.00,-1
21.50,2.20,7.50,1018.50,26.00,-1
19.30,2.80,8.80,1016.60,27.00,-1
16.10,5.30,6.70,1013.90,28.00,-1
15.30,4.40,7.50,1008.70,29.00,-1
16.70,3.60,9.50,1009.80,26.00,-1
16.20,4.40,8.90,1016.10,29.00,-1
15.50,2.20,9.50,1019.10,33.00,-1
14.50,4.20,9.70,1017.00,26.00,-1
16.60,2.80,10.50,1018.20,26.00,-1
18.40,2.80,10.50,1018.20,2.00,-1
18.30,2.80,1.40,1017.30,19.00,-1
17.80,3.60,2.20,1016.30,16.00,-1
16.90,2.80,0.00,1013.80,24.00,-1
19.10,2.20,2.40,1014.30,19.00,-1
19.10,3.90,0.60,1016.10,22.00,-1
18.50,5.60,0.00,1020.80,19.00,-1
20.60,2.50,9.80,1023.50,27.00,-1
22.00,4.20,9.60,1023.90,35.00,-1
24.50,3.90,9.40,1021.60,1.00,-1
20.00,3.90,8.00,1020.00,21.00,-1
20.10,3.60,10.00,1021.30,33.00,-1
25.50,5.60,10.20,1014.00,10.00,1
23.00,4.70,8.10,1012.10,17.00,-1
20.60,4.20,8.50,1015.90,29.00,-1
19.20,4.20,9.50,1017.20,26.00,-1
24.20,4.40,10.80,1019.90,1.00,-1
23.60,2.80,10.40,1019.70,12.00,-1
24.70,2.80,10.60,1017.10,99.00,-1
23.60,2.50,11.10,1014.90,28.00,-1
22.90,3.60,9.80,1016.10,27.00,-1
20.90,4.70,10.80,1020.20,25.00,-1
26.10,3.30,9.30,1020.00,28.00,1
24.20,3.90,9.70,1021.30,32.00,-1
26.90,3.90,8.40,1018.80,1.00,1
27.00,5.60,10.70,1020.00,11.00,1
26.90,4.70,11.00,1022.20,11.00,1
23.50,3.30,10.40,1025.10,26.00,-1
23.00,4.40,10.60,1025.00,28.00,-1
22.50,5.60,11.40,1024.20,27.00,-1
23.50,4.70,11.80,1021.80,32.00,-1
26.20,3.30,10.80,1017.50,1.00,1
20.50,3.90,0.00,1012.00,13.00,-1
25.00,7.50,11.70,1011.30,10.00,1
25.50,6.10,9.80,1012.30,11.00,1
24.50,6.90,12.00,1013.60,10.00,-1
24.50,1.70,10.00,1015.10,10.00,-1
25.00,2.80,10.30,1019.70,22.00,1
26.50,4.20,10.80,1020.80,26.00,1
22.10,3.60,12.10,1020.10,23.00,-1
22.00,6.40,10.20,1017.30,26.00,-1
21.50,5.80,12.10,1019.40,28.00,-1
22.90,5.30,11.50,1018.70,25.00,-1
28.10,3.60,12.40,1017.80,6.00,1
29.20,6.70,12.70,1013.70,12.00,1
28.50,5.80,12.60,1010.40,28.00,1
26.50,6.90,12.70,1006.20,11.00,1
25.00,5.60,11.90,1010.40,11.00,1
23.50,2.80,12.10,1010.30,8.00,-1
22.40,5.00,9.80,1008.70,24.00,-1
22.70,4.40,7.20,1012.40,17.00,-1
26.10,5.30,12.00,1013.60,30.00,1
30.10,4.20,12.90,1013.90,26.00,1
30.30,3.60,13.00,1014.80,30.00,1
31.50,3.90,12.80,1011.70,20.00,1
30.70,2.80,9.20,1010.70,15.00,1
29.00,2.80,9.70,1014.40,18.00,1
27.90,4.70,10.30,1017.10,26.00,1
25.90,4.40,9.30,1016.30,25.00,1
25.00,3.90,10.50,1013.80,14.00,1
32.50,7.50,9.40,1011.20,11.00,1
29.00,7.50,11.60,1015.80,11.00,1
26.50,5.60,10.00,1018.50,27.00,1
27.50,6.40,12.60,1016.80,29.00,1
25.00,5.60,13.00,1015.00,25.00,1
27.00,5.30,12.50,1017.80,27.00,1
29.20,3.90,12.10,1018.40,28.00,1
30.00,6.90,12.50,1017.50,31.00,1
28.50,4.70,13.10,1015.30,20.00,1
26.30,4.40,13.10,1012.70,26.00,1
25.00,4.20,12.40,1011.40,25.00,1
27.20,4.70,13.00,1015.60,26.00,1
25.20,4.70,13.30,1017.80,26.00,1
26.50,4.70,13.00,1015.80,26.00,1
25.20,4.20,9.90,1012.10,18.00,1
23.30,5.30,0.00,1013.10,14.00,-1
25.30,5.00,7.80,1015.00,11.00,1
23.80,3.60,13.00,1014.50,99.00,-1
23.80,5.30,10.60,1013.20,17.00,-1
21.50,4.20,2.00,1008.50,12.00,-1
21.70,3.10,2.40,1009.90,18.00,-1
19.40,2.50,0.40,1010.20,22.00,-1
23.30,3.30,11.10,1012.60,13.00,-1
25.20,4.40,12.90,1013.80,26.00,1
25.80,6.10,11.40,1012.00,17.00,1
24.30,5.00,10.80,1013.80,24.00,-1
24.00,6.90,11.30,1013.90,25.00,-1
23.60,5.80,12.90,1014.00,25.00,-1
24.50,6.10,13.20,1015.90,22.00,-1
26.40,5.00,13.40,1014.60,99.00,1
29.50,2.80,8.70,1010.60,24.00,1
25.80,5.00,13.00,1010.40,19.00,1
28.00,3.60,13.40,1010.70,21.00,1
28.00,5.00,12.00,1012.20,15.00,1
26.20,5.60,11.40,1012.30,20.00,1
31.70,8.10,9.50,1009.80,13.00,-1
28.20,4.70,3.80,1009.20,13.00,1
24.50,5.60,1.90,1009.80,15.00,-1
25.00,5.00,11.90,1012.70,22.00,1
26.40,3.90,11.20,1016.10,27.00,1
26.50,6.10,13.20,1013.50,27.00,1
25.90,5.80,12.40,1012.60,26.00,1
25.20,7.80,11.40,1012.00,27.00,1
27.60,5.30,13.80,1012.90,27.00,1
35.20,3.10,13.60,1013.40,24.00,1
36.50,4.20,13.30,1012.50,18.00,1
34.60,3.60,12.70,1011.20,25.00,1
27.60,4.20,10.90,1009.00,19.00,1
26.50,5.60,10.00,1010.50,25.00,1
27.20,3.30,9.70,1011.20,99.00,1
27.20,6.10,13.00,1014.60,26.00,1
30.00,5.00,13.80,1016.50,31.00,1
36.90,7.20,13.60,1016.90,11.00,1
36.40,7.80,13.10,1013.30,11.00,1
39.00,3.10,12.80,1013.20,14.00,1
38.60,4.40,13.40,1014.20,15.00,1
36.90,3.60,11.90,1013.40,28.00,1
29.50,2.50,11.40,1012.50,21.00,1
28.40,5.00,8.00,1013.90,15.00,1
27.40,3.90,13.40,1014.30,24.00,1
29.60,4.70,13.00,1012.90,27.00,1
33.20,5.00,13.00,1012.60,10.00,1
30.20,3.60,13.50,1014.80,16.00,1
30.40,4.40,12.10,1015.10,21.00,1
31.00,3.30,13.10,1013.50,25.00,1
30.30,4.40,13.40,1011.50,19.00,1
27.70,5.60,13.30,1014.50,21.00,1
29.20,4.40,12.70,1015.60,99.00,1
34.00,5.30,13.60,1016.30,29.00,1
33.60,3.60,12.20,1015.60,30.00,1
34.00,3.60,11.00,1013.90,19.00,1
34.00,5.30,13.30,1013.60,25.00,1
34.10,3.90,13.60,1015.20,27.00,1
31.40,4.70,13.60,1014.10,20.00,1
29.40,6.70,13.70,1013.70,27.00,1
31.50,5.00,12.60,1011.80,29.00,1
34.50,3.10,12.10,1013.00,12.00,1
30.60,4.70,5.70,1015.10,23.00,1
34.20,3.90,10.00,1015.20,26.00,1
30.80,5.30,12.30,1013.30,26.00,1
28.20,7.20,13.30,1013.50,26.00,1
29.40,4.20,13.20,1013.20,28.00,1
30.50,3.90,7.50,1013.10,27.00,1
28.40,5.60,12.60,1012.90,22.00,1
27.70,4.70,13.50,1015.00,23.00,1
27.00,4.40,13.00,1013.30,17.00,1
26.20,5.00,10.40,1015.20,21.00,1
30.60,4.20,13.10,1013.00,28.00,1
33.00,3.90,13.40,1012.30,27.00,1
31.80,3.90,13.30,1015.30,27.00,1
29.70,5.00,13.40,1016.20,99.00,1
28.20,4.70,13.10,1014.10,22.00,1
29.80,5.30,10.90,1012.10,25.00,1
28.00,6.70,13.00,1012.10,24.00,1
32.00,2.80,13.00,1013.50,21.00,1
37.10,2.50,13.10,1014.20,11.00,1
