tmax,wspd,sol,aptoplay
17.90,1.70,9.60,-1
17.40,2.20,9.50,-1
18.20,2.20,9.40,-1
18.20,2.80,9.40,-1
21.60,1.40,9.50,-1
19.30,3.30,9.60,-1
18.40,3.30,6.30,-1
16.70,4.40,3.80,-1
17.70,5.80,3.90,-1
16.50,12.80,3.60,-1
16.60,11.70,5.90,-1
18.40,6.70,3.10,-1
19.40,8.60,8.80,-1
17.90,8.90,4.20,-1
19.00,5.30,0.00,-1
20.70,4.20,8.30,-1
17.60,7.80,0.00,-1
19.80,8.10,6.20,-1
20.30,5.80,3.20,-1
20.40,5.60,0.00,-1
21.50,2.20,7.50,-1
19.30,2.80,8.80,-1
16.10,5.30,6.70,-1
14.70,4.20,8.20,-1
15.30,4.40,7.50,-1
16.70,3.60,9.50,-1
16.20,4.40,8.90,-1
15.50,2.20,9.50,-1
14.50,4.20,9.70,-1
16.60,2.80,10.50,-1
18.40,2.80,10.50,-1
18.30,2.80,1.40,-1
17.80,3.60,2.20,-1
16.90,2.80,0.00,-1
19.10,2.20,2.40,-1
19.10,3.90,0.60,-1
18.50,5.60,0.00,-1
20.60,2.50,9.80,-1
22.00,4.20,9.60,-1
24.50,3.90,9.40,-1
20.00,3.90,8.00,-1
20.10,3.60,10.00,-1
25.50,5.60,10.20,1
23.00,4.70,8.10,-1
20.60,4.20,8.50,-1
19.20,4.20,9.50,-1
24.20,4.40,10.80,-1
23.60,2.80,10.40,-1
24.70,2.80,10.60,-1
23.60,2.50,11.10,-1
22.90,3.60,9.80,-1
20.90,4.70,10.80,-1
26.10,3.30,9.30,1
24.20,3.90,9.70,-1
26.90,3.90,8.40,1
27.00,5.60,10.70,1
26.90,4.70,11.00,1
23.50,3.30,10.40,-1
23.00,4.40,10.60,-1
22.50,5.60,11.40,-1
23.50,4.70,11.80,-1
26.20,3.30,10.80,1
20.50,3.90,0.00,-1
25.00,7.50,11.70,1
25.50,6.10,9.80,1
24.50,6.90,12.00,-1
24.50,1.70,10.00,-1
25.00,2.80,10.30,1
26.50,4.20,10.80,1
22.10,3.60,12.10,-1
22.00,6.40,10.20,-1
21.50,5.80,12.10,-1
22.90,5.30,11.50,-1
28.10,3.60,12.40,1
29.20,6.70,12.70,1
28.50,5.80,12.60,1
26.50,6.90,12.70,1
25.00,5.60,11.90,1
23.50,2.80,12.10,-1
22.40,5.00,9.80,-1
22.70,4.40,7.20,-1
26.10,5.30,12.00,1
30.10,4.20,12.90,1
30.30,3.60,13.00,1
31.50,3.90,12.80,1
30.70,2.80,9.20,1
29.00,2.80,9.70,1
27.90,4.70,10.30,1
25.90,4.40,9.30,1
25.00,3.90,10.50,1
32.50,7.50,9.40,1
29.00,7.50,11.60,1
26.50,5.60,10.00,1
27.50,6.40,12.60,1
25.00,5.60,13.00,1
27.00,5.30,12.50,1
29.20,3.90,12.10,1
30.00,6.90,12.50,1
28.50,4.70,13.10,1
26.30,4.40,13.10,1
25.00,4.20,12.40,1
27.20,4.70,13.00,1
25.20,4.70,13.30,1
26.50,4.70,13.00,1
25.20,4.20,9.90,1
23.30,5.30,0.00,-1
25.30,5.00,7.80,1
23.80,3.60,13.00,-1
23.80,5.30,10.60,-1
21.50,4.20,2.00,-1
21.70,3.10,2.40,-1
19.40,2.50,0.40,-1
23.30,3.30,11.10,-1
25.20,4.40,12.90,1
25.80,6.10,11.40,1
24.30,5.00,10.80,-1
24.00,6.90,11.30,-1
23.60,5.80,12.90,-1
24.50,6.10,13.20,-1
26.40,5.00,13.40,1
29.50,2.80,8.70,1
25.80,5.00,13.00,1
28.00,3.60,13.40,1
28.00,5.00,12.00,1
26.20,5.60,11.40,1
31.70,8.10,9.50,-1
28.20,4.70,3.80,1
24.50,5.60,1.90,-1
25.00,5.00,11.90,1
26.40,3.90,11.20,1
26.50,6.10,13.20,1
25.90,5.80,12.40,1
25.20,7.80,11.40,1
27.60,5.30,13.80,1
35.20,3.10,13.60,1
36.50,4.20,13.30,1
34.60,3.60,12.70,1
27.60,4.20,10.90,1
26.50,5.60,10.00,1
27.20,3.30,9.70,1
27.20,6.10,13.00,1
30.00,5.00,13.80,1
36.90,7.20,13.60,1
36.40,7.80,13.10,1
39.00,3.10,12.80,1
38.60,4.40,13.40,1
36.90,3.60,11.90,1
29.50,2.50,11.40,1
28.40,5.00,8.00,1
27.40,3.90,13.40,1
29.60,4.70,13.00,1
33.20,5.00,13.00,1
30.20,3.60,13.50,1
30.40,4.40,12.10,1
31.00,3.30,13.10,1
30.30,4.40,13.40,1
27.70,5.60,13.30,1
29.20,4.40,12.70,1
34.00,5.30,13.60,1
33.60,3.60,12.20,1
34.00,3.60,11.00,1
34.00,5.30,13.30,1
34.10,3.90,13.60,1
31.40,4.70,13.60,1
29.40,6.70,13.70,1
31.50,5.00,12.60,1
34.50,3.10,12.10,1
30.60,4.70,5.70,1
34.20,3.90,10.00,1
30.80,5.30,12.30,1
28.20,7.20,13.30,1
29.40,4.20,13.20,1
30.50,3.90,7.50,1
28.40,5.60,12.60,1
27.70,4.70,13.50,1
27.00,4.40,13.00,1
26.20,5.00,10.40,1
30.60,4.20,13.10,1
33.00,3.90,13.40,1
31.80,3.90,13.30,1
29.70,5.00,13.40,1
28.20,4.70,13.10,1
29.80,5.30,10.90,1
28.00,6.70,13.00,1
32.00,2.80,13.00,1
37.10,2.50,13.10,1
40.90,3.90,12.70,1
36.70,6.70,11.40,1
35.60,3.60,9.80,1
31.70,4.20,4.40,1
34.00,3.10,10.20,1
37.50,3.90,12.10,1
34.00,3.30,11.70,1
32.00,4.20,12.00,1
30.80,3.60,11.90,1
30.50,3.60,11.90,1
29.40,4.20,12.70,1
29.50,3.60,11.50,1
30.60,3.60,12.30,1
36.10,3.60,11.90,1
36.50,2.50,11.40,1
37.60,2.50,12.10,1
