fecha,tmax,wspd,presMax,aptoplay
2023-02-01,17.9,1.7,1025.2,-1
2023-02-02,17.4,2.2,1026.6,-1
2023-02-03,18.2,2.2,1028.7,-1
2023-02-04,18.2,2.8,1028.1,-1
2023-02-05,21.6,1.4,1026.5,-1
2023-02-06,19.3,3.3,1023.4,-1
2023-02-07,18.4,3.3,1016.4,-1
2023-02-08,16.7,4.4,1019.4,-1
2023-02-09,17.7,5.8,1026.3,-1
2023-02-10,16.5,12.8,1026.3,-1
2023-02-11,16.6,11.7,1023.6,-1
2023-02-12,18.4,6.7,1024.4,-1
2023-02-13,19.4,8.6,1025.7,-1
2023-02-14,17.9,8.9,1023.2,-1
2023-02-15,19.0,5.3,1022.2,-1
2023-02-16,20.7,4.2,1023.1,-1
2023-02-17,17.6,7.8,1021.4,-1
2023-02-18,19.8,8.1,1021.6,-1
2023-02-19,20.3,5.8,1019.4,-1
2023-02-20,20.4,5.6,1017.6,-1
2023-02-21,21.5,2.2,1018.5,-1
2023-02-22,19.3,2.8,1016.6,-1
2023-02-23,16.1,5.3,1013.9,-1
2023-02-24,14.7,4.2,1010.0,-1
2023-02-25,15.3,4.4,1008.7,-1
2023-02-26,16.7,3.6,1009.8,-1
2023-02-27,16.2,4.4,1016.1,-1
2023-02-28,15.5,2.2,1019.1,-1
2023-03-01,14.5,4.2,1017.0,-1
2023-03-02,16.6,2.8,1018.2,-1
2023-03-03,18.4,2.8,1018.2,-1
2023-03-04,18.3,2.8,1017.3,-1
2023-03-05,17.8,3.6,1016.3,-1
2023-03-06,16.9,2.8,1013.8,-1
2023-03-07,19.1,2.2,1014.3,-1
2023-03-08,19.1,3.9,1016.1,-1
2023-03-09,18.5,5.6,1020.8,-1
2023-03-10,20.6,2.5,1023.5,-1
2023-03-11,22.0,4.2,1023.9,-1
2023-03-12,24.5,3.9,1021.6,-1
2023-03-13,20.0,3.9,1020.0,-1
2023-03-14,20.1,3.6,1021.3,-1
2023-03-15,25.5,5.6,1014.0,1
2023-03-16,23.0,4.7,1012.1,-1
2023-03-17,20.6,4.2,1015.9,-1
2023-03-18,19.2,4.2,1017.2,-1
2023-03-19,24.2,4.4,1019.9,-1
2023-03-20,23.6,2.8,1019.7,-1
2023-03-21,24.7,2.8,1017.1,-1
2023-03-22,23.6,2.5,1014.9,-1
2023-03-23,22.9,3.6,1016.1,-1
2023-03-24,20.9,4.7,1020.2,-1
2023-03-25,26.1,3.3,1020.0,1
2023-03-26,24.2,3.9,1021.3,-1
2023-03-27,26.9,3.9,1018.8,1
2023-03-28,27.0,5.6,1020.0,1
2023-03-29,26.9,4.7,1022.2,1
2023-03-30,23.5,3.3,1025.1,-1
2023-03-31,23.0,4.4,1025.0,-1
2023-04-01,22.5,5.6,1024.2,-1
2023-04-02,23.5,4.7,1021.8,-1
2023-04-03,26.2,3.3,1017.5,1
2023-04-04,20.5,3.9,1012.0,-1
2023-04-05,25.0,7.5,1011.3,1
2023-04-06,25.5,6.1,1012.3,1
2023-04-07,24.5,6.9,1013.6,-1
2023-04-08,24.5,1.7,1015.1,-1
2023-04-09,25.0,2.8,1019.7,1
2023-04-10,26.5,4.2,1020.8,1
2023-04-11,22.1,3.6,1020.1,-1
2023-04-12,22.0,6.4,1017.3,-1
2023-04-13,21.5,5.8,1019.4,-1
2023-04-14,22.9,5.3,1018.7,-1
2023-04-15,28.1,3.6,1017.8,1
2023-04-16,29.2,6.7,1013.7,1
2023-04-17,28.5,5.8,1010.4,1
2023-04-18,26.5,6.9,1006.2,-1
2023-04-19,25.0,5.6,1010.4,1
2023-04-20,23.5,2.8,1010.3,-1
2023-04-21,22.4,5.0,1008.7,-1
2023-04-22,22.7,4.4,1012.4,-1
2023-04-23,26.1,5.3,1013.6,1
2023-04-24,30.1,4.2,1013.9,1
