tmax,aptoplay
17.90,-1
17.40,-1
18.20,-1
18.20,-1
21.60,-1
19.30,-1
18.40,-1
16.70,-1
17.70,-1
16.50,-1
16.60,-1
18.40,-1
19.40,-1
17.90,-1
19.00,-1
20.70,-1
17.60,-1
19.80,-1
20.30,-1
20.40,-1
21.50,-1
19.30,-1
16.10,-1
14.70,-1
15.30,-1
16.70,-1
16.20,-1
15.50,-1
14.50,-1
16.60,-1
18.40,-1
18.30,-1
17.80,-1
16.90,-1
19.10,-1
19.10,-1
18.50,-1
20.60,-1
22.00,-1
24.50,-1
20.00,-1
20.10,-1
25.50,1
23.00,-1
20.60,-1
19.20,-1
24.20,-1
23.60,-1
24.70,-1
23.60,-1
22.90,-1
20.90,-1
26.10,1
24.20,-1
26.90,1
27.00,1
26.90,1
23.50,-1
23.00,-1
22.50,-1
23.50,-1
26.20,1
20.50,-1
25.00,1
25.50,1
24.50,-1
24.50,-1
25.00,1
26.50,1
22.10,-1
22.00,-1
21.50,-1
22.90,-1
28.10,1
29.20,1
28.50,1
26.50,1
25.00,1
23.50,-1
22.40,-1
22.70,-1
26.10,1
30.10,1
30.30,1
31.50,1
30.70,1
29.00,1
27.90,1
25.90,1
25.00,1
32.50,1
29.00,1
26.50,1
27.50,1
25.00,1
27.00,1
29.20,1
30.00,1
28.50,1
26.30,1
25.00,1
27.20,1
25.20,1
26.50,1
25.20,1
23.30,-1
25.30,1
23.80,-1
23.80,-1
21.50,-1
21.70,-1
19.40,-1
23.30,-1
25.20,1
25.80,1
24.30,-1
24.00,-1
23.60,-1
24.50,-1
26.40,1
29.50,1
25.80,1
28.00,1
28.00,1
26.20,1
31.70,-1
28.20,1
24.50,-1
25.00,1
26.40,1
26.50,1
25.90,1
25.20,1
27.60,1
35.20,1
36.50,1
34.60,1
27.60,1
26.50,1
27.20,1
27.20,1
30.00,1
36.90,1
36.40,1
39.00,1
38.60,1
36.90,1
29.50,1
28.40,1
27.40,1
29.60,1
33.20,1
30.20,1
30.40,1
31.00,1
30.30,1
27.70,1
29.20,1
34.00,1
33.60,1
34.00,1
34.00,1
34.10,1
31.40,1
29.40,1
31.50,1
34.50,1
30.60,1
34.20,1
30.80,1
28.20,1
29.40,1
30.50,1
28.40,1
27.70,1
27.00,1
26.20,1
30.60,1
33.00,1
31.80,1
29.70,1
28.20,1
29.80,1
28.00,1
32.00,1
37.10,1
40.90,1
36.70,1
35.60,1
31.70,1
34.00,1
37.50,1
34.00,1
32.00,1
30.80,1
30.50,1
29.40,1
29.50,1
30.60,1
36.10,1
36.50,1
37.60,1
38.40,1
38.90,1
37.70,1
39.50,1
35.20,1
25.60,1
33.20,1
33.00,1
28.90,1
28.60,1
27.30,1
24.70,-1
24.40,-1
26.40,1
28.40,1
29.80,1
29.40,1
29.10,1
28.00,1
28.90,1
27.60,1
27.00,1
27.40,1
33.20,1
27.00,1
25.30,1
25.70,1
26.00,1
26.30,1
26.10,1
25.70,1
23.70,-1
29.70,1
31.10,1
29.90,1
29.90,1
32.00,1
33.00,1
34.50,1
32.10,1
33.80,1
32.90,1
33.50,1
32.00,1
32.00,1
33.20,1
33.00,1
32.50,1
31.00,1
30.30,1
30.70,1
30.00,1
26.50,1
26.30,1
25.80,1
26.50,1
27.00,1
25.40,1
23.60,-1
23.00,-1
23.50,-1
23.50,-1
21.40,-1
22.50,-1
24.50,-1
23.00,-1
23.00,-1
23.60,-1
23.00,-1
20.30,-1
17.40,-1
22.90,-1
24.00,-1
20.00,-1
23.40,-1
19.90,-1
19.00,-1
18.50,-1
20.10,-1
20.80,-1
20.40,-1
21.00,-1
22.60,-1
26.20,1
27.40,1
27.00,1
25.00,1
27.20,1
26.00,1
24.60,-1
22.20,-1
19.50,-1
19.40,-1
20.90,-1
19.50,-1
19.00,-1
20.50,-1
18.40,-1
20.00,-1
19.00,-1
20.30,-1
18.90,-1
16.50,-1
17.20,-1
17.80,-1
19.00,-1
16.70,-1
20.50,-1
18.50,-1
19.50,-1
20.50,-1
21.50,-1
21.70,-1
17.00,-1
15.50,-1
18.40,-1
19.40,-1
18.40,-1
17.20,-1
16.50,-1
13.90,-1
16.90,-1
18.20,-1
18.20,-1
18.00,-1
16.90,-1
14.80,-1
16.90,-1
17.00,-1
17.80,-1
19.80,-1
20.30,-1
18.00,-1
22.00,-1
20.50,-1
20.00,-1
14.70,-1
15.20,-1
15.50,-1
15.00,-1
14.20,-1
16.00,-1
15.40,-1
18.50,-1
20.00,-1
20.00,-1
19.50,-1
19.00,-1
20.50,-1
20.40,-1
18.20,-1
15.20,-1
17.60,-1
18.00,-1
21.40,-1
23.90,-1
23.50,-1
22.00,-1
21.80,-1
21.90,-1
20.60,-1
21.00,-1
20.90,-1
20.60,-1
20.70,-1
19.90,-1
20.60,-1
19.00,-1
20.50,-1
20.50,-1
17.40,-1
19.00,-1
19.50,-1
18.80,-1
19.50,-1
21.50,-1
24.00,-1
20.30,-1
18.30,-1
21.60,-1
21.40,-1
23.40,-1
22.90,-1
22.10,-1
19.70,-1
17.00,-1
17.50,-1
19.10,-1
17.00,-1
15.80,-1
16.20,-1
16.60,-1
15.10,-1
18.10,-1
16.40,-1
18.80,-1
18.60,-1
21.50,-1
17.20,-1
17.50,-1
15.60,-1
18.20,-1
18.00,-1
22.50,-1
21.80,-1
20.40,-1
20.10,-1
26.80,1
28.00,1
26.60,1
22.60,-1
20.30,-1
20.90,-1
29.90,1
25.00,1
25.00,1
17.30,-1
16.40,-1
19.30,-1
20.00,-1
17.40,-1
18.50,-1
16.60,-1
20.00,-1
22.00,-1
22.30,-1
26.60,1
28.40,1
25.80,1
22.50,-1
22.60,-1
23.60,-1
26.30,1
29.10,1
25.00,1
27.50,1
27.50,1
27.50,1
31.30,1
21.10,-1
22.40,-1
24.20,-1
22.00,-1
24.80,-1
22.60,-1
25.50,1
26.10,1
22.50,-1
21.50,-1
20.60,-1
20.50,-1
20.20,-1
20.60,-1
19.80,-1
19.00,-1
24.30,-1
23.30,-1
22.00,-1
22.90,-1
28.20,1
29.60,1
28.70,1
29.50,1
28.70,1
28.70,1
23.80,-1
22.00,-1
21.40,-1
21.60,-1
21.60,-1
23.20,-1
21.90,-1
21.80,-1
22.00,-1
24.80,-1
26.40,1
28.20,1
26.20,1
28.00,1
25.40,1
29.90,1
32.40,1
33.20,1
32.30,1
30.50,1
30.50,-1
30.60,1
25.10,1
26.90,1
27.20,1
23.50,-1
24.50,-1
24.00,-1
25.00,1
24.30,-1
24.20,-1
28.10,1
29.20,1
26.50,1
25.30,1
27.50,1
24.50,-1
24.00,-1
23.30,-1
30.50,1
34.50,1
37.20,1
34.70,1
30.00,1
25.60,1
25.60,1
25.30,1
24.80,-1
25.60,1
25.90,1
33.60,1
37.00,1
37.20,1
29.30,1
26.00,1
24.90,-1
37.20,1
29.30,1
26.00,1
24.90,-1
27.50,1
28.30,1
31.00,1
33.00,1
29.70,1
27.70,1
28.00,1
28.60,1
30.40,1
31.20,1
34.70,1
36.80,1
30.80,1
28.70,1
33.70,1
40.30,1
39.70,1
28.90,1
28.10,1
28.50,1
33.50,1
36.00,1
28.50,1
31.10,1
30.00,1
29.30,1
29.80,1
30.20,1
30.60,1
29.20,1
31.20,1
28.80,1
30.00,1
35.10,1
31.00,1
29.50,1
28.10,1
27.60,1
35.30,1
36.10,1
38.30,1
37.10,1
29.30,1
29.40,1
30.20,1
27.70,1
28.40,1
31.80,1
33.00,1
30.80,1
33.00,1
28.80,1
30.40,1
32.60,1
30.20,1
29.30,1
27.80,1
26.50,1
27.70,1
27.60,1
27.50,1
28.00,1
27.20,1
26.00,1
26.10,1
24.80,-1
26.60,1
29.70,1
31.20,-1
33.40,1
31.30,1
26.30,1
26.70,1
26.10,1
27.80,1
27.50,1
26.10,1
25.30,1
24.50,-1
24.80,-1
26.00,1
25.00,1
29.20,1
30.80,1
31.00,1
27.90,1
26.10,1
25.80,1
